Reference Number,Publication Title,Publication Authors,Publication Journal,Publication Volume,Publication Pages,Publication Year,Study Location,Experimental Design,Treatment Description,Treatment Dosage,Treatment Dosage Units,Animals per Treatment,Treatment Code,Treatment Type,Animal Metabolic Status,Rumen Cannulation Status,Animal Housing Type,Animal Feeding Type,Diet Acclimation Days,Data Collection Days,Total Treatment Days,Feed Analysis Method,Animal sex: 1 = Male; 2= Female,Animal Age (months),"Animal BW, kg",Methane Measurement Method,DIM,"ADG, kg/d ",ADG SEM,ADG SD,Intake strategy,Diet Forage #1,"Diet Forage #1, % Diet DM",Diet Forage #2,"Diet forage #2, % Diet DM",Supplemental Feed Ingredients,"Diet Forage, %DM","DMI, kg/d",DMI SEM,DMI SED,DMI SD,"Diet GE, Mcal/kg DM","Diet CP, %DM","Diet Fatty Acids, %DM","Diet EE, %DM","Diet Ash, %DM","Diet NDF, %DM","Diet ADF, %DM","Diet Lignin, %DM","Diet Starch, %DM",Rumen pH,Rumen pH SEM,Rumen pH SED,Rumen pH SD,"Rumen Ammonia, mM",Rumen Ammonia SEM,Rumen Ammonia SED,Rumen Ammonia SD,"Rumen VFA, mM",Rumen VFA SEM,Rumen VFA SED,Rumen VFA SD,"Rumen Acetate, mol/100 mol",Rumen Acetate SEM,Rumen Acetate SED ,Rumen Acetate SD ,"Rumen Propionate, mol/100 mol",Rumen Propionate SEM,Rumen Propionate SED,Rumen Propionate  SD,"Rumen Butyrate, mol/100 mol",Rumen Butyrate SEM,Rumen Butyrate SED,Rumen Butyrate SD,Rumen Sampling Method,"TTDM dig, %",TTDM dig SEM,TTDM dig SED,TTDM dig SD,"TTOM dig, % ",TTOM dig SEM,TTOM dig SED,TTOM dig SD,"TTCP dig, %",TTCP dig SEM,TTCP dig SED,TTCP dig SD,"TTGE dig, %",TTGE dig SEM,TTGE dig SED,TTGE dig SD,"TTNDF dig, %",TTNDF dig SEM,TTNDF dig SED,TTNDF dig SD,"TTADF dig, %",TTADF dig SEM,TTADF dig SED,TTADF dig SD,"TTStarch dig, %",TTStarch dig SEM,TTStarch dig SED,"Fecal N, g/d",Fecal N SEM,Fecal N SED,Fecal N SD,"Urine N, g/d",Urine N SEM,Urine N SED,Urine N SD,"Milk N, g/d",Milk N SEM,Milk N SED,"Milk, kg/d",Milk SEM,Milk SED,Milk SD,"Milk Fat, %",Milk Fat SEM,Milk Fat SED,Milk Fat SD,"Milk CP, %",Milk CP SEM,Milk CP SED,Milk CP SD,"Milk TP, %",Milk TP SEM,Milk TP SED,Milk TP SD,"Milk Lactose, %",Milk Lactose SEM,Milk Lactose SED,Milk Lactose SD,"ECM, kg/d",ECM SEM,ECM SED,ECM SD,"FCM 3.5%, kg/d",FCM 3.5% SEM,"FCM 4%, kg",FCM 4% SEM,"SCM, kg/d","SCM, SEM","FPCM, kg/d",FPCM SEM,FPCM SED,FPCM SD,"MUN, mg/dL",MUN SEM,MUN SD,"CH4, g/d ",CH4 SEM,CH4 SED,CH4 SD,"CH4/DMI, g/kg","CH4/DMI, SEM","CH4/DMI, SED","CH4/DMI, SD","CH4, %GEI","CH4, %GEI SEM","CH4, %GEI SED","CH4, %GEI SD","CH4/Milk, g/kg","CH4/Milk,SEM","CH4/Milk, SED","CH4/Milk, SD","CH4/ECM, g/kg","CH4/ECM,SEM","CH4/ECM, SED","CH4/ECM, SD",CH4/BW Gain g/kg,"CH4/BW Gain, g/kg SEM","H2, g/d",H2 SEM,H2 SD,H2/DMI g/kg,H2/DMI g/kg SEM,"H2/DMI, g/kg SED",H2/DMI g/kg SD,"CO2, g/d ",CO2 SEM,CO2 SED,CO2 SD,"CO2/DMI, g/kg","CO2/DMI, g/kg SEM","CO2/DMI, g/kg SED","CO2/DMI, g/kg SD"
236,"Dietary inclusion of diallyl disulfide, yucca powder, calcium fumarate, an extruded linseed product, or medium-chain fatty acids does not affect methane production in lactating dairy cows.","Van Zijderveld, S. M., Dijkstra, J., Perdok, H. B., Newbold, J. R., & Gerrits, W. J. J.",Journal of Dairy Science,94,3094-3104,2011,Netherlands,Randomized block design,200 mg/kg DM diallyl disulfide - Exp 2,200,mg/kg DM,10,DADS2,Electron Acceptor,Lactating,Non-cannulated,Individual,TMR,12,5,17,Wet Chemistry,2,,605,Respiration chamber,167,,,,Restricted,Grass silage,41,Corn silage,35,"soybean meal, wheat, linseed meal",76,16.8,0.21,,,4.82,16.5,,6,7.8,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,1.61,,,,,,,,,,,,,,,,,,,,,24.8,1.01,,,4.52,0.155,,,3.4,0.078,,,,,,,4.54,0.045,,,,,,,,,,,,,,,,,11.7,0.5,,386,26.1,,,22.9,1.22,,,6.4,0.15,,,15.5,1.83,,,,,,,,,,,,,,,,,,,,,,,
236,"Dietary inclusion of diallyl disulfide, yucca powder, calcium fumarate, an extruded linseed product, or medium-chain fatty acids does not affect methane production in lactating dairy cows.","Van Zijderveld, S. M., Dijkstra, J., Perdok, H. B., Newbold, J. R., & Gerrits, W. J. J.",Journal of Dairy Science,94,3094-3104,2011,Netherlands,Randomized block design,100 g/kg DM extruded linseed - Exp 2,100,g/kg DM,10,UNSAT,Lipid,Lactating,Non-cannulated,Individual,TMR,12,5,17,Wet Chemistry,2,,598,Respiration chamber,167,,,,Restricted,Grass silage,41,Corn silage,35,"soybean meal, wheat",76,16.9,0.21,,,4.75,16.3,,5.5,7.8,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,1.61,,,,,,,,,,,,,,,,,,,,,25.4,1.01,,,4.47,0.155,,,3.33,0.078,,,,,,,4.62,0.045,,,,,,,,,,,,,,,,,12.7,0.5,,394,26.1,,,23.2,1.22,,,6.4,0.15,,,16,1.83,,,,,,,,,,,,,,,,,,,,,,,
236,"Dietary inclusion of diallyl disulfide, yucca powder, calcium fumarate, an extruded linseed product, or medium-chain fatty acids does not affect methane production in lactating dairy cows.","Van Zijderveld, S. M., Dijkstra, J., Perdok, H. B., Newbold, J. R., & Gerrits, W. J. J.",Journal of Dairy Science,94,3094-3104,2011,Netherlands,Randomized block design,20.3 g/kg DM C8:0+C10:0 - Exp 2,20.3,g/kg DM,10,MCFA,Lipid,Lactating,Non-cannulated,Individual,TMR,12,5,17,Wet Chemistry,2,,605,Respiration chamber,167,,,,Restricted,Grass silage,41,Corn silage,35,"soybean meal, wheat, linseed meal",76,16.7,0.21,,,4.68,15.9,,5.8,9.4,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,1.61,,,,,,,,,,,,,,,,,,,,,22.3,1.01,,,5.38,0.155,,,3.59,0.078,,,,,,,4.58,0.045,,,,,,,,,,,,,,,,,10.7,0.5,,388,26.1,,,23.2,1.22,,,6.6,0.15,,,18.2,1.83,,,,,,,,,,,,,,,,,,,,,,,
236,"Dietary inclusion of diallyl disulfide, yucca powder, calcium fumarate, an extruded linseed product, or medium-chain fatty acids does not affect methane production in lactating dairy cows.","Van Zijderveld, S. M., Dijkstra, J., Perdok, H. B., Newbold, J. R., & Gerrits, W. J. J.",Journal of Dairy Science,94,3094-3104,2011,Netherlands,Randomized block design,3 g/kg DM yucca powder - Exp 1,3,g/kg DM,10,YP,Tannins & Saponins,Lactating,Non-cannulated,Individual,TMR,12,5,17,Wet Chemistry,2,,592,Respiration chamber,97,,,,Restricted,Grass silage,40,Corn silage,26,"soybean meal, wheat, corn, sugar beet pulp, rapeseed meal",66,17.3,0.83,,,4.61,16.7,,3.3,7.6,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,1.77,,,,,,,,,,,,,,,,,,,,,29.8,1.21,,,3.96,0.174,,,3.28,0.071,,,,,,,4.73,0.051,,,,,,,,,,,,,,,,,12.9,0.43,,446,12.9,,,25.6,0.41,,,7.4,0.11,,,15,0.7,,,,,,,,,,,,,,,,,,,,,,,
237,Effects of nitrogen fertilisation rate and maturity of grass silage on methane emission by lactating dairy cows. ,"Warner, D., Hatew, B., Podesta, S. C., Klop, G., van Gastelen, S., van Laar, H., ... & Bannink, A.",Animal,10,34-43,2016,Netherlands,Randomized block design,High Fert - Late Maturity,,,8,HF LM,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,618,Respiration chamber,168,,,,Restricted,Grass silage,76.9,,,Concentrate feed,76.9,13.3,0.56,,,,20.30,,,,,,,,6.50,0.09,,,16.30,1.58,,,113,3.50,,,68.2,0.83,,,17.1,0.38,,,10.8,0.54,,,Cannula,,,,,72.10,0.73,,,,,,,69.60,0.81,,,65.60,1.32,,,,,,,,,,,,,,,,,,,,,18.7,1.9,,,4.57,0.24,,,3.35,0.17,,,,,,,4.47,0.08,,,,,,,,,,,,,19.7,1.57,,,,,,322,13.6,,,24.6,0.43,,,7.3,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Effects of nitrogen fertilisation rate and maturity of grass silage on methane emission by lactating dairy cows. ,"Warner, D., Hatew, B., Podesta, S. C., Klop, G., van Gastelen, S., van Laar, H., ... & Bannink, A.",Animal,10,34-43,2016,Netherlands,Randomized block design,Low Fert - Late Maturity,,,9,LF LM,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,632,Respiration chamber,168,,,,Restricted,Grass silage,79.4,,,Concentrate feed,79.4,14.9,0.56,,,,15.44,,,,,,,,6.40,0.09,,,10.00,1.58,,,109,3.50,,,67.8,0.83,,,18.0,0.38,,,11.4,0.54,,,Cannula,,,,,73.90,0.73,,,,,,,70.80,0.81,,,66.40,1.32,,,,,,,,,,,,,,,,,,,,,20.6,1.9,,,4.52,0.24,,,3.44,0.17,,,,,,,4.53,0.08,,,,,,,,,,,,,21.4,1.57,,,,,,347,13.6,,,23.4,0.43,,,7.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Effects of nitrogen fertilisation rate and maturity of grass silage on methane emission by lactating dairy cows. ,"Warner, D., Hatew, B., Podesta, S. C., Klop, G., van Gastelen, S., van Laar, H., ... & Bannink, A.",Animal,10,34-43,2016,Netherlands,Randomized block design,High Fert - Early Maturity,,,8,HF EM,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,612,Respiration chamber,168,,,,Restricted,Grass silage,81,,,Concentrate feed,81,16,0.56,,,,24.38,,,,,,,,6.60,0.09,,,22.80,1.58,,,104,3.50,,,66.4,0.83,,,16.8,0.38,,,11.7,0.54,,,Cannula,,,,,80.30,0.73,,,,,,,78.00,0.81,,,79.10,1.32,,,,,,,,,,,,,,,,,,,,,25.4,1.9,,,4.50,0.24,,,3.26,0.17,,,,,,,4.52,0.08,,,,,,,,,,,,,26.6,1.57,,,,,,347,13.6,,,21.7,0.43,,,6.4,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Effects of nitrogen fertilisation rate and maturity of grass silage on methane emission by lactating dairy cows. ,"Warner, D., Hatew, B., Podesta, S. C., Klop, G., van Gastelen, S., van Laar, H., ... & Bannink, A.",Animal,10,34-43,2016,Netherlands,Randomized block design,High Fert - Middle Maturity,,,9,HF MM,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,625,Respiration chamber,168,,,,Restricted,Grass silage,78.9,,,Concentrate feed,78.9,14.5,0.56,,,,23.45,,,,,,,,6.50,0.09,,,19.00,1.58,,,112,3.50,,,66.6,0.83,,,17.7,0.38,,,10.9,0.54,,,Cannula,,,,,80.00,0.73,,,,,,,77.20,0.81,,,79.70,1.32,,,,,,,,,,,,,,,,,,,,,23.6,1.9,,,4.80,0.24,,,3.34,0.17,,,,,,,4.52,0.08,,,,,,,,,,,,,25.3,1.57,,,,,,352,13.6,,,24.4,0.43,,,7.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Effects of nitrogen fertilisation rate and maturity of grass silage on methane emission by lactating dairy cows. ,"Warner, D., Hatew, B., Podesta, S. C., Klop, G., van Gastelen, S., van Laar, H., ... & Bannink, A.",Animal,10,34-43,2016,Netherlands,Randomized block design,Low Fert - Middle Maturity,,,9,LF MM,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,618,Respiration chamber,168,,,,Restricted,Grass silage,79.6,,,Concentrate feed,79.6,14.9,0.56,,,,18.12,,,,,,,,6.30,0.09,,,12.10,1.58,,,109,3.50,,,68.0,0.83,,,17.6,0.38,,,11.6,0.54,,,Cannula,,,,,79.50,0.73,,,,,,,76.30,0.81,,,76.00,1.32,,,,,,,,,,,,,,,,,,,,,21.5,1.9,,,4.43,0.24,,,3.45,0.17,,,,,,,4.40,0.08,,,,,,,,,,,,,22.4,1.57,,,,,,356,13.6,,,24.0,0.43,,,7.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Effects of nitrogen fertilisation rate and maturity of grass silage on methane emission by lactating dairy cows. ,"Warner, D., Hatew, B., Podesta, S. C., Klop, G., van Gastelen, S., van Laar, H., ... & Bannink, A.",Animal,10,34-43,2016,Netherlands,Randomized block design,Low Fert - Early Maturity,,,9,LF EM,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,618,Respiration chamber,168,,,,Restricted,Grass silage,80.7,,,Concentrate feed,80.7,15.8,0.56,,,,20.89,,,,,,,,6.60,0.09,,,16.40,1.58,,,101,3.50,,,68.5,0.83,,,15.4,0.38,,,11.1,0.54,,,Cannula,,,,,80.60,0.73,,,,,,,78.50,0.81,,,77.90,1.32,,,,,,,,,,,,,,,,,,,,,26.0,1.9,,,5.00,0.24,,,3.27,0.17,,,,,,,4.61,0.08,,,,,,,,,,,,,28.8,1.57,,,,,,361,13.6,,,23.0,0.43,,,6.8,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Effect of nitrogen fertilization rate and regrowth interval of grass herbage on methane emission of zero-grazing lactating dairy cows.,"Warner, D., Podesta, S. C., Hatew, B., Klop, G., van Laar, H., Bannink, A., & Dijkstra, J. ",Journal of Dairy Science,98,3383-3393,2015,Netherlands,Randomized block design,low fertilization & 5wk cut,,,6,N20 R5,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,127,Respiration chamber,193,,,,Restricted,Grass - Fresh,85.0,,,"Corn, palm kernel meal, molasses, wheat",85,14.9,0.16,,,,,,,,,,,,6.6,0.1,,,0.70,0.67,,,76.6,4.0,,,62.9,1.30,,,16.6,0.40,,,18.0,1.17,,,Cannula,,,,,74.0,1.4,,,,,,,70.3,1.4,,,67.5,2.39,,,,,,,,,,,,,,,,,,,,,16.6,1.5,,,4.22,0.38,,,3.22,0.17,,,,,,,4.43,0.11,,,,,,,,,,,,,16.8,1.38,,,4.9,0.9,,297,16.1,,,19.9,0.8,,,6.4,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Effect of nitrogen fertilization rate and regrowth interval of grass herbage on methane emission of zero-grazing lactating dairy cows.,"Warner, D., Podesta, S. C., Hatew, B., Klop, G., van Laar, H., Bannink, A., & Dijkstra, J. ",Journal of Dairy Science,98,3383-3393,2015,Netherlands,Randomized block design,low fertilization & 3wk cut,,,6,N20 R3,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,118,Respiration chamber,193,,,,Restricted,Grass - Fresh,85.0,,,"Corn, palm kernel meal, molasses, wheat",85,14.9,0.16,,,,,,,,,,,,6.5,0.1,,,1.70,0.67,,,77.2,4.0,,,65.0,1.30,,,16.8,0.40,,,15.8,1.17,,,Cannula,,,,,77.0,1.4,,,,,,,72.9,1.4,,,74.1,2.39,,,,,,,,,,,,,,,,,,,,,19.6,1.5,,,4.62,0.38,,,3.38,0.17,,,,,,,4.52,0.11,,,,,,,,,,,,,21.1,1.38,,,7.3,0.9,,306,16.1,,,20.4,0.8,,,6.5,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Effect of nitrogen fertilization rate and regrowth interval of grass herbage on methane emission of zero-grazing lactating dairy cows.,"Warner, D., Podesta, S. C., Hatew, B., Klop, G., van Laar, H., Bannink, A., & Dijkstra, J. ",Journal of Dairy Science,98,3383-3393,2015,Netherlands,Randomized block design,high fertilization & 3wk cut,,,6,N90 R3,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,124,Respiration chamber,193,,,,Restricted,Grass - Fresh,85.0,,,"Corn, palm kernel meal, molasses, wheat",85,15.1,0.16,,,,,,,,,,,,6.4,0.1,,,10.20,0.67,,,99.2,4.0,,,65.9,1.30,,,16.3,0.40,,,14.4,1.17,,,Cannula,,,,,83.6,1.4,,,,,,,80.2,1.4,,,85.9,2.39,,,,,,,,,,,,,,,,,,,,,20.1,1.5,,,4.87,0.38,,,3.52,0.17,,,,,,,4.55,0.11,,,,,,,,,,,,,22.6,1.38,,,13.6,0.9,,326,16.1,,,21.5,0.8,,,6.7,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Effect of nitrogen fertilization rate and regrowth interval of grass herbage on methane emission of zero-grazing lactating dairy cows.,"Warner, D., Podesta, S. C., Hatew, B., Klop, G., van Laar, H., Bannink, A., & Dijkstra, J. ",Journal of Dairy Science,98,3383-3393,2015,Netherlands,Randomized block design,high fertilization & 5wk cut,,,7,N90 R5,Diet Reformulation,Lactating,Both,Individual,Component,12,5,17,Wet Chemistry,2,,120,Respiration chamber,193,,,,Restricted,Grass - Fresh,85.0,,,"Corn, palm kernel meal, molasses, wheat",85,15,0.16,,,,,,,,,,,,6.4,0.1,,,2.80,0.67,,,89.6,4.0,,,65.7,1.30,,,17.8,0.40,,,13.8,1.17,,,Cannula,,,,,79.6,1.4,,,,,,,75.7,1.4,,,80.3,2.39,,,,,,,,,,,,,,,,,,,,,19.8,1.5,,,4.80,0.38,,,3.44,0.17,,,,,,,4.43,0.11,,,,,,,,,,,,,21.2,1.38,,,7.0,0.9,,337,16.1,,,22.4,0.8,,,7.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"Methane emission, digestive characteristics and faecal archaeol in heifers fed diets based on silage from brown midrib maize as compared to conventional maize. ","Schwarm, A., Schweigel-Röntgen, M., Kreuzer, M., Ortmann, S., Gill, F., Kuhla, B., ... & Derno, M. ",Archives of Animal Nutrition,69,159-176,2015,Germany,Crossover,Corn hybrid,,,7,CTR,Diet Reformulation,Growing,Non-cannulated,,TMR,13,1,14,Wet Chemistry,2,20,589,Respiration chamber,,,,,Ad libitum,Corn silage,92,Grass hay,5,soybean meal,97,9.19,,,1.29,,10.2,,3.0,4.8,48.3,26.2,2.8, ,7.45,,,0.3,4.68,,,2.21,34.5,,,13.0,64.3,,,2.7,16.7,,,2.0,11.8,,,2.1,Stomach Tube,67.9,,,4,70.1,,,4.0,58.8,,,6.9,,,,,59.1,,,4.6,56.4,,,3.9,,,,61.20,,,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.82,,,35.05,27.95,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"Methane emission, digestive characteristics and faecal archaeol in heifers fed diets based on silage from brown midrib maize as compared to conventional maize. ","Schwarm, A., Schweigel-Röntgen, M., Kreuzer, M., Ortmann, S., Gill, F., Kuhla, B., ... & Derno, M. ",Archives of Animal Nutrition,69,159-176,2015,Germany,Crossover,Brown midrib,,,7,BMR,Diet Reformulation,Growing,Non-cannulated,,TMR,13,1,14,Wet Chemistry,2,20,589,Respiration chamber,,,,,Ad libitum,Corn silage,92,Grass hay,5,soybean meal,97,9.88,,,1.23,,9.9,,2.4,4.8,47.1,26.0,1.6,,7.22,,,0.4,3.48,,,1.37,43.3,,,10.1,64.8,,,2.4,18.2,,,2.4,13.2,,,2.4,Stomach Tube,70.7,,,3.4,73.1,,,3.4,51.4,,,5.7,,,,,66.6,,,6.4,68.4,,,6.8,,,,74.00,,,11.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.47,,,32.32,27.23,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Effect of supplementation of fresh and ensiled clovers to ryegrass on nitrogen loss and methane emission of dairy cows. ,"Van Dorland, H. A., Wettstein, H. R., Leuenberger, H., & Kreuzer, M. ",Livestock Science,111,57-69,2007,Switzerland,Randomized block design,Red clover Expt 1,,,6,RF - Exp 1,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,14,8,22,Wet Chemistry,2,,641,Respiration chamber,122,,,,Ad libitum,Grass - Fresh,43.57,Red clover - Fresh,25.7,barley,81.35,19.2,0.77,,,,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.00,12.90,,,279,17.10,,,,,,26.4,1.2,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.55,22.92,,,,,,,,,,,16.69,1.50,,,,,,,,,,,,,,,,,,,,,,,
240,Effect of supplementation of fresh and ensiled clovers to ryegrass on nitrogen loss and methane emission of dairy cows. ,"Van Dorland, H. A., Wettstein, H. R., Leuenberger, H., & Kreuzer, M. ",Livestock Science,111,57-69,2007,Switzerland,Randomized block design,Ensiled red clover Expt 2,,,6,RS - Exp 2,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,14,8,22,Wet Chemistry,2,,641,Respiration chamber,115,,,,Ad libitum,Grass silage,40.17,Red clover silage,25.79,barley,73.51,18.8,0.62,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.00,6.80,,,173,12.90,,,,,,24.5,0.9,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.43,15.68,,,,,,,,,,,17.48,1.32,,,,,,,,,,,,,,,,,,,,,,,
240,Effect of supplementation of fresh and ensiled clovers to ryegrass on nitrogen loss and methane emission of dairy cows. ,"Van Dorland, H. A., Wettstein, H. R., Leuenberger, H., & Kreuzer, M. ",Livestock Science,111,57-69,2007,Switzerland,Randomized block design,White clover Expt 1,,,6,WF - Exp 1,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,14,8,22,Wet Chemistry,2,,612,Respiration chamber,122,,,,Ad libitum,Grass - Fresh,41.27,White clover - Fresh,31.26,barley,84.67,18.2,0.77,,,,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.00,12.90,,,294,17.10,,,,,,26.3,1.2,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.82,22.92,,,,,,,,,,,15.54,1.50,,,,,,,,,,,,,,,,,,,,,,,
240,Effect of supplementation of fresh and ensiled clovers to ryegrass on nitrogen loss and methane emission of dairy cows. ,"Van Dorland, H. A., Wettstein, H. R., Leuenberger, H., & Kreuzer, M. ",Livestock Science,111,57-69,2007,Switzerland,Randomized block design,Ensiled white clover Expt 2,,,6,WS - Exp 2,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,14,8,22,Wet Chemistry,2,,653,Respiration chamber,115,,,,Ad libitum,Grass silage,43.95,White clover Silage,30.67,barley,82.79,19.7,0.62,,,,20.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.00,6.80,,,186,12.90,,,,,,25.9,0.9,,,,,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.10,15.68,,,,,,,,,,,17.40,1.32,,,,,,,,,,,,,,,,,,,,,,,
240,Effect of supplementation of fresh and ensiled clovers to ryegrass on nitrogen loss and methane emission of dairy cows. ,"Van Dorland, H. A., Wettstein, H. R., Leuenberger, H., & Kreuzer, M. ",Livestock Science,111,57-69,2007,Switzerland,Randomized block design,Ryegrass silage Expt 2,,,6,GS - Exp 2,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,14,8,22,Wet Chemistry,2,,630,Respiration chamber,115,,,,Ad libitum,Grass silage,61.24,,,barley,70.45,17.8,0.62,,,,17.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.00,6.80,,,150,12.90,,,,,,25.3,0.9,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.40,15.68,,,,,,,,,,,17.83,1.32,,,,,,,,,,,,,,,,,,,,,,,
240,Effect of supplementation of fresh and ensiled clovers to ryegrass on nitrogen loss and methane emission of dairy cows. ,"Van Dorland, H. A., Wettstein, H. R., Leuenberger, H., & Kreuzer, M. ",Livestock Science,111,57-69,2007,Switzerland,Randomized block design,Ryegrass silage with corn gluten meal Expt 2,,,6,GS+ - Exp 2,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,14,8,22,Wet Chemistry,2,,645,Respiration chamber,115,,,,Ad libitum,Grass silage,63.16,,,"barley, corn gluten",71.16,19,0.62,,,,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.00,6.80,,,238,12.90,,,,,,26.1,0.9,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.67,15.68,,,,,,,,,,,18.33,1.32,,,,,,,,,,,,,,,,,,,,,,,
243,Effect of feeding dried high-sugar ryegrass (‘AberMagic’) on methane and urinary nitrogen emissions of primiparous cows.,"Staerfl, S. M., Amelchanka, S. L., Kälber, T., Soliva, C. R., Kreuzer, M., & Zeitz, J. O. ",Livestock Science,150,293-301,2012,Switzerland,Crossover,ryegrass with high water-soluble carbohydrate,,,6,High-WSC,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,18,8,26,Wet Chemistry,2,,548,Respiration chamber,112,,,,Ad libitum,Grass hay,100,,,,100,14.4,0.73,,,4.28,15.8,,2.5,10.1,49.2,27.9,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,0.75,,,72.2,1.61,,,,,,,81.2,0.87,,,76.2,1.08,,,,,,101.192,,,,117.936,,,,,,,15.8,0.33,,,4.17,0.137,,,3.33,0.165,,,,,,,4.82,0.024,,,,,,,,,,,,,,,,,7.59,1.098,,279,11.7,,,19.4,1.49,,,,,,,18.1,1.4,,,,,,,,,,,,,,,,,,,,,,,
243,Effect of feeding dried high-sugar ryegrass (‘AberMagic’) on methane and urinary nitrogen emissions of primiparous cows.,"Staerfl, S. M., Amelchanka, S. L., Kälber, T., Soliva, C. R., Kreuzer, M., & Zeitz, J. O. ",Livestock Science,150,293-301,2012,Switzerland,Crossover,ryegrass with low water-soluble carbohydrate,,,6,Low-WSC,Diet Reformulation,Lactating,Non-cannulated,Individual,Component,18,8,26,Wet Chemistry,2,,543,Respiration chamber,112,,,,Ad libitum,Grass hay,100,,,,100,15.7,0.73,,,4.28,25.5,,2.8,12.6,49.1,27.1,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,0.75,,,83,1.61,,,,,,,86.5,0.87,,,78.1,1.08,,,,,,108.46,,,,294.118,,,,,,,19.3,0.33,,,3.93,0.137,,,3.26,0.165,,,,,,,4.81,0.024,,,,,,,,,,,,,,,,,20.64,1.098,,315,11.7,,,20.3,1.49,,,,,,,16.4,1.4,,,,,,,,,,,,,,,,,,,,,,,
